title,youtube_id,keyword,standard_domain,standard_cluster,grade,Jurisdiction Hierarchy 2
Compund Inequalities 2,d2cnQ5ahHgE,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
Compound Inequalities 3,cvB8b4AACyE,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
Compound Inequalities 4,ZF_cZ-GX9PI,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
"Plotting (x,y) relationships",86NwKBcOlow,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math 2
Graphing using X and Y intercepts,6m642-2D3V4,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math 2
Introduction to Limits (HD),riXcZT2ICjA,CC.9-12.A-REI.3,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Calculus
Introduction to the Quadratic Equation,IWigvJcCAJ0,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Quadratic Equation Part 2,y19jYxzY8Y8,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Solving Quadratic Equations by Factoring.avi,2ZzuZvz33X0,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 2.avi,04RpkdaNzr8,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 3.avi,vl9o9XEfXtw,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Functions 1,CuPgmA7ytWA,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Functions 2,dfoXtodyiIA,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Functions 3,TgKBc3Igx1I,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Formula 1,iulx0z1lz8M,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Formula 2,CLrImGKeuEI,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Quadratic Formula 3,XUvKjC21fYU,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 1,Zoa485PqK_M,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 2,HtN86WyZ6zY,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 3,huZBkYgGrKo,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Evaluating a polynomial at a given value,03yq7XsErqo,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
Solving quadratics by factoring,uktzcTg_N7U,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math 2
Applications Problem Factoring Quadratics,STcsaKuW-24,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math 2
Limit Examples w/ brain malfunction on first prob (part 4),xjkSE9cPqzo,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Pre-calculus
Limit Examples (part3),gWSDDopD9sk,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Pre-calculus
Fun Trig Problem,itpI12TeNIg,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Trigonometry
Extreme Derivative Word Problem (advanced),viaPc8zDcRI,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Calculus
Optimization with Calculus 2,3GYv-BZYYdg,CC.9-12.A-REI.4,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Calculus
Quadratic Formula (Proof),mDmRYfma9C0,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Completing the Square,gzm-uhj06q8,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Completing the Square 1,VvuuRpJbbHE,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 2,6agzj3A9IgA,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 3,02h9yhc7ruc,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 4,95tChNVzodY,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Proof of Quadratic Formula,r3SEkdtpobo,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Square a Binomial,xjkbR7Gjgjs,CC.9-12.A-REI.4.a,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
Introduction to the Quadratic Equation,IWigvJcCAJ0,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Completing the Square,gzm-uhj06q8,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Quadratic Equation Part 2,y19jYxzY8Y8,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra
Solving Quadratic Equations by Factoring.avi,2ZzuZvz33X0,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 2.avi,04RpkdaNzr8,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 3.avi,vl9o9XEfXtw,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 1,VvuuRpJbbHE,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 2,6agzj3A9IgA,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 3,02h9yhc7ruc,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Completing the Square 4,95tChNVzodY,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Understanding Logical Statements 2,0Sx5aJoAkW8,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Understanding Logical Statements 3,fs7fz3MLpC8,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Algebra I Worked Examples
Discriminant of Quadratic Equations,JBSDQLZtjFo,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Factor by Grouping and Factoring Completely,X7B_tH4O-_s,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Factoring Quadratic Expressions,eF6zYNzlZKQ,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Factoring Special Products,BI_jmI4xRus,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Solving Quadratic Equations by Completing the Square,bNQY0z76M5A,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Solving Quadratic Equations by Square Roots,55G8037gsKY,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Using the Quadratic Formula,i7idZfS8t8w,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,ck12.org Algebra 1 Examples
Finding Factors of a Number,vcn2ruTOwFo,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math
Simplifying Rational Expressions,RXMSlFtJlEs,CC.9-12.A-REI.4.b,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,12-Sep,Developmental Math 2
Systems of Equations,nok99JOhcjo,CC.9-12.A-REI.5,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra
Solving Systems of Equations by Elimination,vA-55wZtLeE,CC.9-12.A-REI.5,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Addition Elimination Method 3,mKu0L46Qed4,CC.9-12.A-REI.5,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Systems of Equations,nok99JOhcjo,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra
Solving systems by graphing,1CiBuN6qraY,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by graphing 2,BNHLzEv6Mjg,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by graphing 3,F5Nb6cIRZLU,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by substitution 2,wB3QCk0MGuw,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by substitution 3,0BgUKHTW37E,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by elimination,z1hz8-Kri1E,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by elimination 2,Y6JsEja15Vk,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving systems by elimination 3,Dqp6xOeR3Ls,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Systems and rate problems,at4T4n4JYNc,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Systems and rate problems 2,H5w55UbIZTw,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Systems and rate problems 3,hTBQUibtnBk,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
Solving Linear Systems by Graphing,5a6zpfl50go,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Solving Linear Systems by Substitution,V7H1oUHXPkg,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Solving Systems of Equations by Elimination,vA-55wZtLeE,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Solving Systems of Equations by Multiplication,wYrxKGt_bLg,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Special Types of Linear Systems,5qkyuHIE2GM,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,ck12.org Algebra 1 Examples
Graphings Systems of Equations,MRAIgJmRmag,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Independent and Dependent Systems,WSpF5uvApLA,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Graphical Systems Application Problem,3mimxluSVBo,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
The Substitution Method,uzyd_mIJaoc,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Substitution Method 2,2VeqrZ_PMiY,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Substitution Method 3,v6L8--MlnKo,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Addition Elimination Method 1,0P0SCQf-hWQ,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Addition Elimination Method 2,hJOqGkWElNs,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Addition Elimination Method 3,mKu0L46Qed4,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Addition Elimination Method 4,DxSmZ0MDSxM,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Systems of Three Variables,pANZpI9sOYg,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Systems of Three Variables 2,f7cX-Ar2cEM,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Three Equation Application Problem,TJaHNxJk5-4,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Solutions to Three Variable System,K38zMmtjxEw,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Domain of a Rational Expression 1,PnGZz-GuKfw,CC.9-12.A-REI.6,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Developmental Math 2
Non-Linear Systems of Equations 1,hjigR_rHKDI,CC.9-12.A-REI.7,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,Algebra I Worked Examples
,#N/A,CC.9-12.A-REI.8,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,
,#N/A,CC.9-12.A-REI.9,Reasoning with Equations and Inequalities,Solve systems of equations,12-Sep,
,#N/A,CC.9-12.A-SSE.1,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,
Factoring and the Distributive Property,auQU-9KNG74,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring and the Distributive Property 2,499MvHFrqUU,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring and the Distributive Property 3,MZl6Mna0leQ,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 1,HXIj16mjfgk,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 2,QQhkEGp-YQQ,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
U09_L1_T2_we3 Factoring Trinomials by Grouping 3,fVIZmOQBS5M,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 4,u1SAo2GiX8A,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 5,R-rhSQzFJL0,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 6,d-2Lcp0QKfI,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Algebra I Worked Examples
Terms coefficients and exponents in a polynomial,REiDXCN0lGU,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math
Monomial Greatest Common Factor,_01wqwsb66E,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factor polynomials using the GCF,_sIuZHYrdWM,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factor expressions by grouping,rR4FfB-FZJw,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring trinomials with a leading 1 coefficient,nOZTe8jU2g4,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring trinomials with a non-1 leading coefficient by grouping,ISPxJ6JXT8o,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring perfect square trinomials,liRNTieIU_k,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring difference of squares,tvnOWIoeeaU,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring Sum of Cubes,Touv2APcBRw,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factoring the Difference of Cubes,APJx1y78ovA,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Algebraic Expression Least Common Multiple,MNeNHoCXoGU,CC.9-12.A-SSE.1.a,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients",12-Sep,Developmental Math 2
Factor polynomials using the GCF,_sIuZHYrdWM,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factor expressions by grouping,rR4FfB-FZJw,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring trinomials with a leading 1 coefficient,nOZTe8jU2g4,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring trinomials with a common factor,GMoqg_s4Dl4,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring trinomials with a non-1 leading coefficient by grouping,ISPxJ6JXT8o,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring perfect square trinomials,liRNTieIU_k,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring difference of squares,tvnOWIoeeaU,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring Sum of Cubes,Touv2APcBRw,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Factoring the Difference of Cubes,APJx1y78ovA,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Algebraic Expression Least Common Multiple,MNeNHoCXoGU,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Developmental Math 2
Chain Rule Examples,6_lmiPDedsY,CC.9-12.A-SSE.1.b,Seeing Structure in Expressions,Interpret complicated expressions by viewing one or more of their parts as a single entity,12-Sep,Calculus
Factoring and the Distributive Property,auQU-9KNG74,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring and the Distributive Property 2,499MvHFrqUU,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring and the Distributive Property 3,MZl6Mna0leQ,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 1,HXIj16mjfgk,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 2,QQhkEGp-YQQ,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
U09_L1_T2_we3 Factoring Trinomials by Grouping 3,fVIZmOQBS5M,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 4,u1SAo2GiX8A,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 5,R-rhSQzFJL0,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Trinomials by Grouping 6,d-2Lcp0QKfI,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
U09_L2_T1_we1 Factoring Special Products 1,XuwldEyWjH0,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factoring Special Products 2,o-ZbdYVGehI,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
U09_L2_T1_we3 Factoring Special Products 3,YahJQvY396o,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Simplifying Rational Expressions 1,XChok8XlF90,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Simplifying Rational Expressions 2,dstNU7It-Ro,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Simplifying Rational Expressions 3,ey_b3aPsRl8,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Solving Rational Equations 3,5wUJLMWZ5Fw,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Understanding Logical Statements 3,fs7fz3MLpC8,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Deductive Reasoning 2,VMEV__2wW3E,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Algebra I Worked Examples
Factor by Grouping and Factoring Completely,X7B_tH4O-_s,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,ck12.org Algebra 1 Examples
Factor expressions by grouping,rR4FfB-FZJw,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring trinomials with a leading 1 coefficient,nOZTe8jU2g4,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring trinomials with a common factor,GMoqg_s4Dl4,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring trinomials with a non-1 leading coefficient by grouping,ISPxJ6JXT8o,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring perfect square trinomials,liRNTieIU_k,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring difference of squares,tvnOWIoeeaU,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring Sum of Cubes,Touv2APcBRw,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Factoring the Difference of Cubes,APJx1y78ovA,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Simplifying Rational Expressions,RXMSlFtJlEs,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Multiplying and Simplifying Rational Expressions,x6FFjiHPlSI,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Dividing and Simplifying Rational Expressions,Olntk2qhqGs,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Simplifying First for Subtracting Rational Expressions,tmpa8Q240XY,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Subtracting Rational Expressions,YO_SwIKGMqQ,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Adding and Subtracting Rational Expressions,y_DweTAEYWk,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
Complicated Rational Expressions,ALO87_KDoTs,CC.9-12.A-SSE.2,Seeing Structure in Expressions,Interpret the structure of expressions,12-Sep,Developmental Math 2
